year,region,sector,program,amount_npr
2024,Pokhara,Roads,Urban road maintenance,120000000
2024,Pokhara,Education,School refurbishment,45000000
2024,Pokhara,Health,Primary clinic upgrade,30000000
2024,Kathmandu,Roads,Ring-road resurfacing,250000000
2024,Kathmandu,Water,Pipeline extension,90000000
2024,Butwal,Roads,Highway shoulder repair,65000000
2024,Butwal,Health,Maternal health outreach,20000000
2024,Biratnagar,Education,STEM lab grants,40000000
2024,Biratnagar,Energy,Solar street lights,15000000
2024,Janakpur,Water,Community wells,12000000
